type,data,info
description,https://www.huntress.com/blog/fake-gta6-download-malware-analysis,IOCs from the analysis of a fake GTA6 installation
domain,7.tcp.eu.ngrok[.]io,
domain,a0700877.xsph[.]ru,
domain,discord[.]com,
url,hxxps://discord[.]com/api/webhooks/995445114254139543/NmpxQmuBCD6sm3UkVvupGtx-Y0M_A86oJHp00O-l8F4jakfVhqFXzMBoy1uBDdj2rBLc,
ip,141[.]8.197.42,
ip,3[.]67.15.169,
ip,3[.]68.56.232,
ip,35[.]157.111.131,
filename,Gta6installer.exe,
filename,read_it.txt,
file_path_name,%TEMP%\abc.exe,
file_path_name,%TEMP%\adminapp.exe,
file_path_name,%TEMP%\any.ran.exe,
file_path_name,%TEMP%\checkinternetconnection.bat,
file_path_name,%TEMP%\find.vbs,
file_path_name,%TEMP%\gta6.exe,
file_path_name,%TEMP%\license.exe,
file_path_name,%TEMP%\licensechecker.exe,
file_path_name,%TEMP%\P3usMXh1h4.bat,
file_path_name,%TEMP%\rockstar.exe,
file_path_name,%TEMP%\rockstargames.exe,
file_path_name,%TEMP%\rockstargamescrashfixer.exe,
file_path_name,%TEMP%\rockstarservices.exe,
file_path_name,%TEMP%\steam.exe,
file_path_name,%TEMP%\svchost.exe,
file_path_name,%TEMP%\YandexPackLoader.exe,
file_path_name,%USERPROFILE%\AppData\Roaming\svchost.exe,
